id,pt_in,pt_out,tt_in,tt_out,vf_fr,vf_td,vf_su,pt_in_s,pt_out_s,tt_in_s,tt_out_s,vf_fr_s,vf_td_s,vf_su_s
90,2.87,2.87,17.72,28.09,0.0,0.0,3744621.0,2.87,2.87,17.72,28.09,629.01,6264.89,2982028.0
91,2.91,2.9,17.66,26.66,0.0,0.0,3744621.0,2.91,2.9,17.66,26.66,0.0,6598.22,2982362.0
92,2.99,2.98,19.76,24.36,0.0,0.0,3744621.0,2.99,2.98,19.76,24.36,684.68,7277.63,2983041.0
93,2.93,2.92,20.55,22.89,0.0,0.0,3744621.0,2.93,2.92,20.55,22.89,671.04,7955.4,2983719.0
94,2.86,2.85,20.53,21.98,0.0,0.0,3744621.0,2.86,2.85,20.53,21.98,737.36,8649.7,2984413.0
95,2.78,2.78,20.39,21.5,0.0,0.0,3744621.0,2.78,2.78,20.39,21.5,805.01,9436.63,2985200.0
96,2.97,2.97,20.35,21.02,0.0,0.0,3744621.0,2.97,2.97,20.35,21.02,750.83,10211.29,2985975.0
97,2.9,2.89,19.95,20.5,0.0,0.0,3744621.0,2.9,2.89,19.95,20.5,737.75,10962.07,2986726.0
98,2.84,2.83,19.72,19.95,0.0,0.0,3744621.0,2.84,2.83,19.72,19.95,539.28,11569.23,2987333.0
99,2.79,2.78,19.52,19.52,0.0,0.0,3744621.0,2.79,2.78,19.52,19.52,499.25,12090.21,2987854.0
100,2.77,2.77,19.69,19.34,0.0,0.0,3744621.0,2.77,2.77,19.69,19.34,0.0,12240.68,2988004.0
101,2.78,2.77,19.89,19.27,0.0,0.0,3744621.0,2.78,2.77,19.89,19.27,0.0,12240.68,2988004.0
102,2.78,2.76,19.83,18.85,0.0,0.0,3744621.0,2.78,2.76,19.83,18.85,0.0,12243.33,2988007.0
103,2.62,2.61,17.94,18.38,0.0,0.0,3744621.0,2.62,2.61,17.94,18.38,1745.85,13772.49,2989536.0
104,2.76,2.74,18.17,20.27,0.0,0.0,3744621.0,2.76,2.74,18.17,20.27,2414.53,16296.39,2992060.0
105,2.56,2.14,20.56,24.57,0.0,0.0,3744621.0,2.56,2.14,20.56,24.57,1678.79,0.21,2994031.0
106,2.85,2.85,18.07,29.4,0.0,0.0,3744621.0,2.85,2.85,18.07,29.4,683.26,722.53,2994753.0
107,2.87,2.87,17.98,30.16,0.0,0.0,3744621.0,2.87,2.87,17.98,30.16,759.63,1436.15,2995466.0
108,2.87,2.87,18.29,30.93,0.0,0.0,3744621.0,2.87,2.87,18.29,30.93,594.87,2174.94,2996205.0
109,2.85,2.84,18.08,31.69,0.0,0.0,3744621.0,2.85,2.84,18.08,31.69,2031.81,3043.17,2997074.0
110,2.88,2.87,18.38,32.2,0.0,0.0,3744621.0,2.88,2.87,18.38,32.2,695.76,4011.17,2998041.0
111,2.89,2.89,18.12,32.3,0.0,0.0,3744621.0,2.89,2.89,18.12,32.3,702.63,4702.55,2998733.0
112,2.91,2.9,18.5,34.48,0.0,0.0,3744621.0,2.91,2.9,18.5,34.48,673.71,5379.51,2999410.0
113,2.93,2.92,18.55,35.95,0.0,0.0,3744621.0,2.93,2.92,18.55,35.95,0.0,5516.37,2999546.0
114,2.93,2.93,18.54,35.94,0.0,0.0,3744621.0,2.93,2.93,18.54,35.94,0.0,5516.37,2999546.0
115,2.95,2.94,18.27,32.58,0.0,0.0,3744621.0,2.95,2.94,18.27,32.58,0.0,5516.37,2999546.0
116,2.91,2.9,17.61,29.44,0.0,0.0,3744621.0,2.91,2.9,17.61,29.44,0.0,5516.37,2999546.0
117,2.92,2.92,17.53,25.47,0.0,0.0,3744621.0,2.92,2.92,17.53,25.47,647.2,5677.42,2999708.0
118,2.93,2.92,17.5,22.65,0.0,0.0,3744621.0,2.93,2.92,17.5,22.65,707.82,6363.02,3000393.0
119,2.98,2.96,18.0,20.78,0.0,0.0,3744621.0,2.98,2.96,18.0,20.78,2378.23,7379.77,3001410.0
120,3.0,2.99,19.02,19.76,0.0,0.0,3744621.0,3.0,2.99,19.02,19.76,944.54,8949.35,3002980.0
121,2.95,2.94,19.3,19.61,0.0,0.0,3744621.0,2.95,2.94,19.3,19.61,537.4,9769.07,3003799.0
122,2.9,2.89,19.35,19.46,0.0,0.0,3744621.0,2.9,2.89,19.35,19.46,575.24,10301.64,3004332.0
123,2.84,2.84,19.17,18.97,0.0,0.0,3744621.0,2.84,2.84,19.17,18.97,530.8,10854.48,3004885.0
124,2.79,2.78,19.04,18.68,0.0,0.0,3744621.0,2.79,2.78,19.04,18.68,527.24,11404.63,3005435.0
125,2.74,2.74,18.97,18.38,0.0,0.0,3744621.0,2.74,2.74,18.97,18.38,458.96,11895.94,3005926.0
126,2.68,2.68,19.05,18.53,0.0,0.0,3744621.0,2.68,2.68,19.05,18.53,545.96,12444.26,3006474.0
127,2.85,2.85,19.81,19.18,0.0,0.0,3744621.0,2.85,2.85,19.81,19.18,765.49,13095.24,3007125.0
128,2.98,2.96,18.58,20.99,0.0,0.0,3744621.0,2.98,2.96,18.58,20.99,2638.95,15080.57,3009111.0
129,2.94,2.93,21.86,24.19,0.0,0.0,3744621.0,2.94,2.93,21.86,24.19,1299.68,18.01,3010984.0
130,2.86,2.85,19.74,27.56,0.0,0.0,3744621.0,2.86,2.85,19.74,27.56,0.0,72.16,3011037.0
